datetime,open,high,low,close,volume
2025-01-17 03:45:00,23277.1,23292.1,23167.05,23220.7,0
2025-01-17 04:00:00,23221.1,23249.2,23170.6,23193.8,0
2025-01-17 04:15:00,23194.1,23231.0,23184.3,23226.0,0
2025-01-17 04:30:00,23226.4,23236.7,23203.15,23204.15,0
2025-01-17 04:45:00,23204.4,23264.15,23197.5,23263.65,0
2025-01-17 05:00:00,23264.05,23269.25,23197.75,23198.15,0
2025-01-17 05:15:00,23198.55,23198.55,23102.2,23107.65,0
2025-01-17 05:30:00,23108.2,23135.55,23100.35,23131.85,0
2025-01-17 05:45:00,23132.65,23155.65,23124.35,23151.6,0
2025-01-17 06:00:00,23151.15,23177.9,23141.0,23153.15,0
2025-01-17 06:15:00,23152.05,23168.95,23135.65,23168.15,0
2025-01-17 06:30:00,23168.3,23218.2,23164.9,23208.95,0
2025-01-17 06:45:00,23208.6,23264.3,23197.1,23211.1,0
2025-01-17 07:00:00,23211.65,23246.1,23209.4,23222.85,0
2025-01-17 07:15:00,23222.2,23241.95,23202.05,23227.8,0
2025-01-17 07:30:00,23229.0,23235.55,23197.6,23200.25,0
2025-01-17 07:45:00,23200.3,23206.9,23168.65,23181.75,0
2025-01-17 08:00:00,23182.4,23199.55,23160.85,23178.1,0
2025-01-17 08:15:00,23178.2,23205.9,23173.65,23191.85,0
2025-01-17 08:30:00,23192.3,23208.25,23172.8,23198.5,0
2025-01-17 08:45:00,23198.65,23222.55,23187.3,23212.6,0
2025-01-17 09:00:00,23212.75,23237.35,23208.55,23231.85,0
2025-01-17 09:15:00,23231.7,23245.05,23217.5,23242.15,0
2025-01-17 09:30:00,23243.4,23243.4,23191.9,23196.65,0
2025-01-17 09:45:00,23197.8,23210.55,23194.8,23203.1,0
2025-01-20 03:45:00,23290.4,23308.35,23189.7,23209.25,0
2025-01-20 04:00:00,23208.9,23228.55,23170.65,23212.4,0
2025-01-20 04:15:00,23212.05,23236.1,23190.4,23226.65,0
2025-01-20 04:30:00,23226.1,23240.0,23206.05,23228.05,0
2025-01-20 04:45:00,23228.35,23255.15,23227.65,23250.45,0
2025-01-20 05:00:00,23250.05,23272.05,23245.5,23261.5,0
2025-01-20 05:15:00,23261.3,23274.65,23246.7,23270.8,0
2025-01-20 05:30:00,23270.45,23283.05,23257.6,23273.2,0
2025-01-20 05:45:00,23275.15,23337.55,23272.2,23330.95,0
2025-01-20 06:00:00,23331.35,23374.45,23331.35,23372.1,0
2025-01-20 06:15:00,23372.0,23376.5,23346.35,23352.75,0
2025-01-20 06:30:00,23352.35,23358.8,23333.6,23342.95,0
2025-01-20 06:45:00,23343.7,23371.8,23336.1,23339.25,0
2025-01-20 07:00:00,23339.3,23352.8,23326.45,23337.8,0
2025-01-20 07:15:00,23337.9,23362.85,23334.7,23336.45,0
2025-01-20 07:30:00,23336.55,23372.2,23326.3,23359.7,0
2025-01-20 07:45:00,23359.55,23391.1,23340.2,23342.05,0
2025-01-20 08:00:00,23341.5,23350.0,23333.45,23341.8,0
2025-01-20 08:15:00,23345.1,23354.1,23334.2,23338.25,0
2025-01-20 08:30:00,23339.55,23359.95,23328.25,23359.95,0
2025-01-20 08:45:00,23359.95,23366.25,23332.95,23335.3,0
2025-01-20 09:00:00,23337.4,23359.15,23327.65,23353.7,0
2025-01-20 09:15:00,23354.2,23365.55,23350.75,23356.9,0
2025-01-20 09:30:00,23356.7,23362.35,23344.45,23351.7,0
2025-01-20 09:45:00,23352.25,23352.85,23329.4,23337.05,0
